die Erdbeerstaude, n; die Erdbeere n
der Himbeerstrauch, "er

die Himbeere

die Passionsfrucht

die Guajave, n

der Granatapfel, “

der Johannisbeerstrauch

die rote Johannisbeere

die Stachelbeere

die Herzkirsche

die Kakipflaume, n

die Kiwi, 5

die Zwergpomeranze

die Litchipflaume, n

der Mangobaum

die Mango, onen/s

die Haselnuss

die Walnuss

der Walnusskern, e

die Walnussschale, n

die Cashewnuss

die Paranuss

die Mirabelle, n

die Nektarine, n (ablösbarer Stein)
die Brügnole, n (nicht ablösh. St.)
die Mispel, n

die Papaya, s

der Pfirsichbaum ; der Pfirsich, e
die Pistazie, n

der Birnbaum, "e ; die Birne, n
der Apfelbaum ; der Apfel,”

der Pflaumenbaum ; die Pflaume, n
die Zweisch(g)e, n

die Traube, n

die Reneklode, n

die Zitrusfrüchte fp/

die Zitronatzitrone, n

der Zitronenbaum, "e ;.die Zitrone, n
die Limette, n

die Klementine, n

die Mandarine, n

die Apfelsine, n/die Orange, n
die Pomeranze, n

die Blutorange, n

die Apfelsinenschale, n

die Pampelmuse, n

die Grapefruit, s

die Tangerine, n

