	German_voc	French_voc	Aligned	Thème	Page	Rectangle	German_Noun	is_taken	Nom_recherché
0	die Landwirtschaft	e l'agriculture{v plantes cultivées, p. )	True	Agriculture	00	0	die Landwirtschaft	True	Landwirtschaft
1	die Agrarwissenschaften fo/	l’agronomie	True	Agriculture	00	0	die Agrarwissenschaften	True	Agrarwissenschaften
2	das landwirtschaftliche Forschungsinstitut	l'institut de recherche agronomique	True	Agriculture	00	0		False	
3	das landwirtschaftliche Gymnasium (F)	le lycée agricole	True	Agriculture	00	0		False	
4	die Landwirtschaftsschule, n	l'école ; d'agriculture	True	Agriculture	00	0	die Landwirtschaftsschule	True	Landwirtschaftsschule
5	das Land	la campagne	True	Agriculture	00	0	das Land	True	Land
6	ländlich	campagnard, paysan	True	Agriculture	00	0		False	
7	Land-, landwirtschaftlich	rural, de campagne	True	Agriculture	00	0		False	
8	aufdem Land leben	vivre à la campagne	True	Agriculture	00	0		False	
9	das Landleben	la vie rurale	True	Agriculture	00	0	das Landleben	True	Landleben
10	aufs Land ziehen“, 0, 0	S'installer à la campagne	True	Agriculture	00	0		False	
11	die Landflucht	l'exode rural	True	Agriculture	00	0	die Landflucht	True	Landflucht
12	die Verstädterung des Landes	l'urbanisation de la campagne	True	Agriculture	00	0		False	
13	die Landbevölkerung, en	la population rurale, les ruraux	True	Agriculture	00	0	die Landbevölkerung	True	Landbevölkerung
14	die Landgemeinde, n	la commune rurale	True	Agriculture	00	0	die Landgemeinde	True	Landgemeinde
15	"das Dorf, ""er"	le village	True	Agriculture	00	0	das Dorf	True	Dorf
16	der Dorfbewohner, -	le villageois	True	Agriculture	00	0	der Dorfbewohner	True	Dorfbewohner
17	der Marktflecken, -	le bourg	True	Agriculture	00	0	der Marktflecken	True	Marktflecken
18	der Weiler, -	le hameau	True	Agriculture	00	0	der Weiler	True	Weiler
19	"das Kuhdorf, ""ar (fam, pe)"	le bled, le trou	True	Agriculture	00	0	das Kuhdorf	True	Kuhdorf
20	der Landwirt, e	l'agriculteur le cultivateur	True	Agriculture	00	0	der Landwirt	True	Landwirt
21	der Diplomlandwirt, der Agraringenieur, e	l'ingénieur agronome	True	Agriculture	00	0	der Diplomlandwirt	True	Diplomlandwirt
22	der Landarbeiter, -	l'ouvrier agricole	True	Agriculture	00	0	der Landarbeiter	True	Landarbeiter
23	der Tagelöhner, -	le journalier	True	Agriculture	00	0	der Tagelöhner	True	Tagelöhner
