	German_voc	French_voc	Aligned	Thème	Page	Rectangle	German_Noun	is_taken	Nom_recherché	identifiant
0	die Landwirtschaft	e l'agriculture{v plantes cultivées, p. )	True	Agriculture	00	0	die Landwirtschaft	True	Landwirtschaft	0000
1	die Agrarwissenschaften fo/	l’agronomie	True	Agriculture	00	0	die Agrarwissenschaften	True	Agrarwissenschaften	0001
2	das landwirtschaftliche Forschungsinstitut	l'institut de recherche agronomique	True	Agriculture	00	0		False		0002
3	das landwirtschaftliche Gymnasium (F)	le lycée agricole	True	Agriculture	00	0		False		0003
4	die Landwirtschaftsschule, n	l'école ; d'agriculture	True	Agriculture	00	0	die Landwirtschaftsschule	True	Landwirtschaftsschule	0004
5	das Land	la campagne	True	Agriculture	00	0	das Land	True	Land	0005
6	ländlich	campagnard, paysan	True	Agriculture	00	0		False		0006
7	Land-, landwirtschaftlich	rural, de campagne	True	Agriculture	00	0		False		0007
8	aufdem Land leben	vivre à la campagne	True	Agriculture	00	0		False		0008
9	das Landleben	la vie rurale	True	Agriculture	00	0	das Landleben	True	Landleben	0009
10	aufs Land ziehen“, 0, 0	S'installer à la campagne	True	Agriculture	00	0		False		0010
11	die Landflucht	l'exode rural	True	Agriculture	00	0	die Landflucht	True	Landflucht	0011
12	die Verstädterung des Landes	l'urbanisation de la campagne	True	Agriculture	00	0		False		0012
13	die Landbevölkerung, en	la population rurale, les ruraux	True	Agriculture	00	0	die Landbevölkerung	True	Landbevölkerung	0013
14	die Landgemeinde, n	la commune rurale	True	Agriculture	00	0	die Landgemeinde	True	Landgemeinde	0014
15	"das Dorf, ""er"	le village	True	Agriculture	00	0	das Dorf	True	Dorf	0015
16	der Dorfbewohner, -	le villageois	True	Agriculture	00	0	der Dorfbewohner	True	Dorfbewohner	0016
17	der Marktflecken, -	le bourg	True	Agriculture	00	0	der Marktflecken	True	Marktflecken	0017
18	der Weiler, -	le hameau	True	Agriculture	00	0	der Weiler	True	Weiler	0018
19	"das Kuhdorf, ""ar (fam, pe)"	le bled, le trou	True	Agriculture	00	0	das Kuhdorf	True	Kuhdorf	0019
20	der Landwirt, e	l'agriculteur le cultivateur	True	Agriculture	00	0	der Landwirt	True	Landwirt	0020
21	der Diplomlandwirt, der Agraringenieur, e	l'ingénieur agronome	True	Agriculture	00	0	der Diplomlandwirt	True	Diplomlandwirt	0021
22	der Landarbeiter, -	l'ouvrier agricole	True	Agriculture	00	0	der Landarbeiter	True	Landarbeiter	0022
23	der Tagelöhner, -	le journalier	True	Agriculture	00	0	der Tagelöhner	True	Tagelöhner	0023
24	der Bauer, n, n ; die Bäuerin, nen	le paysan ; la paysanne	True	Agriculture	00	0	der Bauer	True	Bauer	0024
25	der Bauernstand	la paysannerie	True	Agriculture	00	0	der Bauernstand	True	Bauernstand	0025
26	der Nebenerwerbsbauer, n, n	le paysan-ouvrier ; le cultivateur à temps partiel	True	Agriculture	00	0	der Nebenerwerbsbauer	True	Nebenerwerbsbauer	0026
27	der Pächter, -	le fermier, le métayer	True	Agriculture	00	0	der Pächter	True	Pächter	0027
28	der Gutsherr, n, en, der Gutsbesitzer, -	le propriétaire terrien	True	Agriculture	00	0	der Gutsherr	True	Gutsherr	0028
