	Unnamed: 0	German_voc	deu_is_noun	French_voc	Aligned	Thème	Page	Rectangle	fra_is_noun
0	1.0	die Landwirtschaft	True	e l'agriculture{v plantes cultivées, p. )	True	Agriculture	00	0	
1	2.0	die Agrarwissenschaften fo/	True	l’agronomie	True	Agriculture	00	0	
2	3.0	das landwirtschaftliche Forschungsinstitut	True	l'institut de recherche agronomique	True	Agriculture	00	0	
3	4.0	das landwirtschaftliche Gymnasium (F)	True	le lycée agricole	True	Agriculture	00	0	
4	5.0	die Landwirtschaftsschule, n	True	l'école ; d'agriculture	True	Agriculture	00	0	
5	6.0	das Land	True	la campagne	True	Agriculture	00	0	
6	7.0	ländlich	False	campagnard, paysan	True	Agriculture	00	0	
7	8.0	Land-, landwirtschaftlich	False	rural, de campagne	True	Agriculture	00	0	
8	9.0	aufdem Land leben	False	vivre à la campagne	True	Agriculture	00	0	
9	10.0	das Landleben	True	la vie rurale	True	Agriculture	00	0	
10	11.0	aufs Land ziehen“, 0, 0	False	S'installer à la campagne	True	Agriculture	00	0	
11	12.0	die Landflucht	True	l'exode rural	True	Agriculture	00	0	
12	13.0	die Verstädterung des Landes	True	l'urbanisation de la campagne	True	Agriculture	00	0	
13	14.0	die Landbevölkerung, en	True	la population rurale, les ruraux	True	Agriculture	00	0	
14	15.0	die Landgemeinde, n	True	la commune rurale	True	Agriculture	00	0	
15	16.0	"das Dorf, ""er"	True	le village	True	Agriculture	00	0	
16	17.0	der Dorfbewohner, -	True	le villageois	True	Agriculture	00	0	
17	18.0	der Marktflecken, -	True	le bourg	True	Agriculture	00	0	
18	19.0	der Weiler, -	True	le hameau	True	Agriculture	00	0	
19	20.0	"das Kuhdorf, ""ar (fam, pe)"	True	le bled, le trou	True	Agriculture	00	0	
20	21.0	der Landwirt, e	True	l'agriculteur le cultivateur	True	Agriculture	00	0	
21	22.0	der Diplomlandwirt, der Agraringenieur, e	True	l'ingénieur agronome	True	Agriculture	00	0	
22	23.0	der Landarbeiter, -	True	l'ouvrier agricole	True	Agriculture	00	0	
23	24.0	der Tagelöhner, -	True	le journalier	True	Agriculture	00	0	
24	25.0	der Bauer, n, n ; die Bäuerin, nen	True	le paysan ; la paysanne	True	Agriculture	00	0	
25	26.0	der Bauernstand	True	la paysannerie	True	Agriculture	00	0	
26	27.0	der Nebenerwerbsbauer, n, n	True	le paysan-ouvrier ; le cultivateur à temps partiel	True	Agriculture	00	0	
27	28.0	der Pächter, -	True	le fermier, le métayer	True	Agriculture	00	0	
28	29.0	der Gutsherr, n, en, der Gutsbesitzer, -	True	le propriétaire terrien	True	Agriculture	00	0	
29	30.0	der Verwalter, -	True	le régisseur	True	Agriculture	00	0	
30	31.0	der Hinterwäldier, -	True	le campagnard	True	Agriculture	00	0	
31	32.0	der Kuhbauer, n (pej)	True	le bouseux	True	Agriculture	00	0	
32	33.0	der Bauerntölpel, -, der ungshobelte Mensch, en, en	True	le cul-terreux, le plouc/ le péquenaud	True	Agriculture	00	0	
33	34.0	bäurisch	False	rustre, grossier, paysan/ campagnard	True	Agriculture	00	0	
34	35.0	der landwirtschaftliche Betrieb, e	True	l'exploitation agricole	True	Agriculture	00	0	
